license_number,business_name,gp_rating,enrich_status,error_message
1000103,DNA FLOORS,,error,
1000130,DYNAMIC IRON WORKS INC,,error,
1000283,DUNCAN CUSTOM CONCRETE,,error,
1001121,J & H MARKINGS CO INC,,error,
1001188,ALL ABOUT GRANITE,,error,
1002883,DEPIAZZA AND REED CONSTRUCTION,,error,
1003405,HONEST AND FAIR HEATING AND AIR,,error,
1003545,ASCEND PAINTING,,error,
1003672,GOLDEN STATE CONCRETE CONSTRUCTION,,error,
1003955,C G R CONSTRUCTION LLC,,error,
1004006,ALIVE MEDIA LLC,,error,
1004055,TRIPLE-G-GUNITE INC,,error,
1004470,GAGE CONCRETE DEMOLITION,,error,
1005179,SHEET METAL CONSTRUCTION,,error,
1005398,ADVANCE ENERGY CONSTRUCTIONS INC,,error,
1005427,ARROYO DRYWALL,,error,
1005446,LARKSPUR CONSTRUCTION,,error,
1005616,NATIONAL HIGH VOLTAGE SERVICES INC,,error,
1005646,ALPINE BLUE LOG HOMES INC,,error,
1005882,ATHENS WEST BUILDERS INC,,error,
1125932,B N V ELECTRIC INC,,,
1126013,LGCY DEVELOPMENT GROUP INC,,,
1126119,AUSTIN ELECTRICAL SERVICES,,,
1126157,DARRYL'S HEATING AND AIR,,,
1126207,D P K ELECTRIC LLC,,,
1126352,KINGS HEATING AND AIR,,,
1126361,JURAT CONSTRUCTION GROUP,,,
1126686,MELLIN SIDING,,,
1126838,DUNCA CM CONSTRUCTION,,,
1126865,MESA ELECTRIC,,,
1127152,LOVE CONSTRUCTION LLC,,,
1127164,MIGUEL & SON'S CONSTRUCTION INC,,,
1127226,KOZ GENERAL CONTRACTING,,,
1128036,CMC CUSTOM CABINETS LLC,,,
1128223,CAPITOL HARDWOOD FLOORING,,,
1128268,VERMEX LANDSCAPE AND CONSTRUCTION,,,
1128310,JAMMY PAINTING,,,
1128467,AR ROOFING SERVICES,,,
1128761,CAPITAL VALLEY TERMITE INC,,,
1128799,PINTAIL CONSTRUCTION LLC,,,
1128862,PACIFIC SHADE LLC,,,
1128911,HENRI LOBOS ROOFING,,,
1128941,LEGENDARY ELECTRIC LLC,,,
1128989,HALO ONE FLOORING CO,,,
1129015,STONE TAYLOR STEPHEN,,,
1129256,WATERS CONSTRUCTION COMPANY LLC,,,
1129288,PCI CONTRACTORS INC,,,
1129329,SIGHTING WINDOW IMPROVED,,,
1129363,FLAGSHIP ROOFING INC,,,
1129515,DEPENDABLE AIR DUCT & DRYER VENT CLEANING INC,,,
1129598,MT PAINTING,,,
1129620,TOKAY HEATING & AIR LLC,,,
1129689,VOLTAGE SOURCE INC,,,
1129714,AMARTEPLUS,,,
1129877,SIERRA VIEW TREE SERVICE INC,,,
1145431,AQUATIC DEVELOPMENT AND CONSULTING LLC,,,
1145971,LEMIDA CONSTRUCTION GROUP,,,
1146375,AMC FENCING,,,
1147522,AGG TELECOMMUNICATIONS,,,
1147529,NOVAC ELECTRICAL SERVICES LLC,,,
1147663,BELLA POOLS AND DESIGN INC,,,
1147676,XANDERS,,,
1147842,WESTPEAK CONSTRUCTION INC,,,
1147855,BLUE LINE PLUMBING,,,
1147878,ALPHA LEGACY BUILDER,,,
1148024,EF PRO BUILDERS,,,
1148214,JKM APPLIANCE INSTALLATION,,,
1148402,BS CCTV SERVICES,,,
1148597,BLUE COLLAR CONSTRUCTION,,,
1148638,FLOORING SPECIALIST,,,
1148669,LI CONSTRUCTION LLC,,,
1148685,ELECTRICAL JEMS INC,,,
1148730,IRON BROTHERS,,,
1148756,PM PAINTING SERVICES LLC,,,
1148758,CLEO CONSTRUCTION INC,,,
1148760,SAIYA ELECTRICAL,,,
1148799,SAC FAIR REMODELING,,,
1148836,VOLPE DEMO LLC,,,
1148841,AWAKEN LAND SERVICES LLC,,,
1148842,SOLIDBUILD GROUP INC,,,
1148895,IN-EX PAINTING & DECORATING,,,
1148923,CRAIG HOLLEY OUTDOOR CONSTRUCTION,,,
1148937,MZ GENERAL CONSTRUCTION INC,,,
1148946,WOLCOTT'S PLUMBING COMPANY,,,
1148977,ECOWISE ELECTRIC LLC,,,
1149007,SUMMIT CONSTRUCTION GRP,,,
1149020,AG AIR CONDITIONING & HEATING INC,,,
1149022,GALVAN FLOORING,,,
1149024,JM LANDSCAPING,,,
1149030,NORTHERN VALLEY TREE SERVICE,,,
1149038,TCS,,,
1149061,ROLLING RENOVATORS,,,
1149084,HRR DRYWALL,,,
1149111,CAL BUILDERS INC,,,
1149112,VERY GOOD BUILDING CO,,,
1149117,HOME FINISHES,,,
1149135,SERVPRO OF NORTH SACRAMENTO,,,
1149146,THE DUTCH RYKER COMPANY LLC,,,
1149159,ACOSTA PRO GENERAL CONSTRUCTION INC,,,
1149163,MAIN POINT CONSTRUCTION CORP,,,
1149177,FORMATS LLC,,,
1149178,PRO BUILDERS REMODELING INC,,,
1149196,POETRY OF COLOR PAINTING THE,,,
1149201,UPDATES THE HOUSE INC,,,
1149262,HERRERA PAINTING,,,
286430,M C M CONSTRUCTION INC,,,
292946,KENYON & SONS INC,,,
311107,THE WHITING-TURNER CONTRACTING COMPANY,,,
311454,AIRCO MECHANICAL INC,,,
313405,GRENZ HOMES INC,,,
316902,WONG'S ANTENNA SERVICE,,,
331379,ALLAN ROBERT L CONSTRUCTION COMPANY,,,
335815,GOLD RIVER COMPANY,,,
342677,LUND CONSTRUCTION CO,,,
347534,V P SPECIALTY INC,,,
347818,CALIFORNIA PATIOS,,,
347823,TIMBER HAVEN CONSTRUCTION INC,,,
348231,PLUMBING ENTERPRISES,,,
352276,TICON CONSTRUCTION INC,,,
357064,CHASE CONSTRUCTION COMPANY,,,
357377,ROYAL ELECTRIC COMPANY,,,
357600,ROSCOE GLASS INC,,,
357671,ROBINSON'S CARPET,,,
358729,BARNES SHAWN CONSTRUCTION,,,
360292,BRS CONSTRUCTION INC,,,
360620,BRANSON CONSTRUCTION,,,
361072,HARLOW ELECTRIC,,,
361224,BROCK PHILIP CONSTRUCTION,,,
361491,MILLER BARTON R,,,
361919,ALPHA ELECTRIC,,,
362161,D H CONSTRUCTION,,,
362945,STELLAR ELECTRIC,,,
363231,YOUNG MICHAEL R,,,
364321,ARMSTRONG PLUMBING INC,,,
364474,BURT GALVEZ,,,
365437,JACKSON CONSTRUCTION,,,
365598,EFFICIENT ENERGY SOLUTIONS INC,,,
365777,KITCHEN MART INC,,,
365810,E-Z PAINTING INC,,,
366603,PRICE CAL CONTRACTOR INC,,,
367170,A B C HOME IMPROVEMENTS,,,
367197,CUSTOMTRONICS SOUND,,,
367351,PACER G C,,,
367577,JLB CONSTRUCTION AND ENGINEERING,,,
368061,NIX ROBERT L PUMP SALES AND SERVICE,,,
368423,MUELLER CONSTRUCTION,,,
369137,SENTINEL FIRE EQUIPMENT COMPANY,,,
369263,ABC INSULATION & SUPPLY CO,,,
369647,STAR CONSTRUCTION,,,
372314,FOX LOOMIS INCORPORATED,,,
373157,HEGNEY CONSTRUCTION,,,
373904,ATCHLEY CONSTRUCTION,,,
374968,BRUCE CONSTRUCTION,,,
374996,VON D PAINTING,,,
375658,ELLIS L G PLUMBING INC,,,
375956,METAL MANUFACTURING COMPANY INC,,,
376012,WINN THOMAS PAUL,,,
376109,BAKER BURGLAR & FIRE SYSTEMS INC,,,
376587,NIX ROBERT ALLEN WELL DRILLING,,,
377204,MURDAUGH ALLEN CONTRACTOR,,,
377230,PRINCE OF PEACE PAINTING,,,
378290,COOK CONSTRUCTION,,,
379245,BOSLEY ELECTRIC CONTRACTING COMPANY,,,
379359,STEPHENS CONSTRUCTION,,,
379363,WRIGHT STEVE M,,,
381349,BOWLING SPECIALISTS,,,
381985,ELLERING CONSTRUCTION,,,
382708,NEMETZ R A CONSTRUCTION CO INC,,,
382922,ASCOTT CONSTRUCTION INC,,,
383191,SWAIN ASSOCIATES,,,
383288,LESS-CO ROOFING,,,
383999,RAWLES ENGINEERING INC,,,
384032,WARD BROS CONSTRUCTION,,,
386331,COOK ELECTRIC,,,
386767,FENCE WORLD INC,,,
388604,COONEY CONSTRUCTION COMPANY,,,
388837,OLMSTED PLUMBING,,,
389600,APPLEGATE CONSTRUCTION,,,
389821,PRUITT AND SON LIGHTING INSTALLATION,,,
390630,ZANETTA PAUL,,,
391433,TAFOYA GILBERT,,,
391622,JARDIN MANUEL C,,,
392444,TSV PAINTING INC,,,
393214,J M PAINTING,,,
393426,HOUSEMENDERS,,,
393531,VASQUEZ AND SONS DRYWALL,,,
393705,FLOOR STORE THE,,,
394307,CAPITOL ELECTRIC,,,
394589,WILLIAMS PAUL CONSTRUCTION,,,
394768,S & S CONSTRUCTION,,,
395320,MC ADAMS D CONSTRUCTION,,,
395326,KEENAN'S PAINTING,,,
395737,HOME IMPROVEMENT,,,
395772,GONZALES CHARLES GENERAL CONT,,,
396004,WFC BUILDERS INC,,,
396246,TERLECKY TIMOTHY M GEN CONTRACTOR INC,,,
396366,DEL PONTE PETER CONSTRUCTION,,,
396515,SECURITY CONTRACTOR SERVICES INC,,,
396934,CAL SIERRA CONSTRUCTION INC,,,
397154,MH TRIMWORK,,,
397502,MASTROTOTARO ASSOCIATES,,,
398381,LAKE-VUE ELECTRIC INC,,,
399147,HALEY MARK J,,,
399622,SMYCO,,,
399667,ENERGY SAVERS THE,,,
401415,WILLIAMS S E CONST,,,
401557,JIMENEZ AND SONS GENERAL CONTRACTORS,,,
401559,MEDINA J R ELECTRIC,,,
401614,QUALITY INTERIORS,,,
401802,J R PUTMAN INC,,,
402532,SACRAMENTO VALLEY ALARM SECURITY SYSTEM INC,,,
403896,CENTRAL STRIPING SERVICE INC,,,
404360,CRUZ ELECTRIC,,,
404650,E J MASONRY CONTRACTOR'S,,,
404807,GABEL STEPHEN W,,,
405294,J C O CONSTRUCTION INC,,,
405494,KAZAVIS ELECTRIC,,,
405590,PAINTING SYSTEM THE,,,
405645,INNERSPACE BY MECHILL,,,
406061,ALL YEAR INC,,,
406234,A J BUILDING & DEVELOPMENT COMPANY,,,
406794,AIR SYSTEMS OF SACRAMENTO,,,
407605,MOYLEN JIM ROOFING,,,
408126,SACRAMENTO CONTROL SYSTEMS INC,,,
408884,NELMAR CONSTRUCTION INC,,,
410017,LEMIEUX CONSTRUCTION,,,
410035,CLARK PAUL CONSTRUCTION COMPANY,,,
410573,FRONTIER FIRE PROTECTION INC,,,
411644,BASSETT BUILDING AND CONSTRUCTION,,,
412127,ABC PLUMBING HEATING AND AIR CONDITIONING,,,
412290,ALHAMBRA CONSTRUCTION,,,
412296,MCGUIRE EARTH WORKS INC,,,
412418,PARK UTILITIES INC,,,
412982,EAGLE POOLS INC,,,
413196,VOGUE HOMES INC,,,
414042,SACRAMENTO TRIM WORKS & CONSTRUCTION,,,
414065,BELFORTE R L CONSTRUCTION,,,
414262,MELICK ART ROOFING,,,
414387,HOT & COLD HEAT & AIR,,,
414746,STANALAND BOB SHOWER PANS INC,,,
414937,HANSEN CONSTRUCTION,,,
415014,LOVINGOOD CONSTRUCTION INC,,,
415875,M. A. LONG CONSTRUCTION INC,,,
416129,VILLAREAL CARPETS AND FLOORS,,,
416209,REEVES FLOOR COVERING,,,
416279,R & B ELECTRONICS - ELECTRICAL CONTRACTING,,,
416370,STOKES GRANITE & STONE INC,,,
416388,AGL LANDSCAPES INC,,,
416415,N G C INTERIORS INC,,,
416872,GURO CONSTRUCTION,,,
416949,R & M ELECTRIC,,,
417286,GLASS SHOP THE,,,
418106,BURNETT CONSTRUCTION,,,
418113,WWF CONTRACTORS CORP,,,
418170,ERA ELECTRIC SERVICE,,,
419181,ZELLARS CONCRETE LLC,,,
420272,EL DORADO CUSTOM TILE,,,
420498,B V CONSTRUCTION,,,
420521,C P E CONSTRUCTION,,,
420755,ARTSS SECURITY SYSTEMS CONTRACTING,,,
421077,KLENNER HENRY - EXCAVATING AND GRADING,,,
422037,UNIQUE QUALITY BUILDERS INC,,,
422142,HARRINGTON CONSTRUCTION,,,
422327,CALIFORNIA WATER TREATMENT,,,
422364,TELSTAR INSTRUMENTS,,,
423239,FISHER WILLIAM E,,,
423363,GOLDEN AIRE INC,,,
423441,G S DESIGN,,,
423644,A D M MECHANICAL,,,
423779,GOOD EARTH WORKS LANDSCAPE CO THE,,,
423996,D M A CONSTRUCTION,,,
424520,VOSE GERALD ALAN,,,
424691,BALDACCHINO CONSTRUCTION INC,,,
424828,OLYMPIC LAND-CONSTRUCTION INC,,,
425096,ELLIOTT HOMES INC,,,
425291,ECONOMICAL ASPHALT,,,
425554,LIEBIG BOB PUMP SERVICE,,,
425910,D F CONSTRUCTION,,,
426124,CAPITAL CITY GLASS & MIRROR INC,,,
426293,HERZER PAINTING & CONSTRUCTION,,,
426612,DAGUE GENERAL CONTRACTOR,,,
426727,TORRES ARTHUR A ELECTRIC,,,
426860,HARTIN & HUME INC,,,
426937,MAGEE ELECTRICAL COMPANY,,,
427098,WATER HEATER EXPRESS,,,
427482,XTRAH PLUMBING CO,,,
427990,R J H CONSTRUCTION COMPANY INC,,,
428594,WILLIAMS TED CONSTRUCTION,,,
429445,CONCRETE NORTH INC,,,
429687,NORCO CONSTRUCTION,,,
429859,HOOPER JOE ROOFING,,,
430988,STERK RAYMOND,,,
431508,PESZYNSKI ANDREW F,,,
431793,DAN THOMPSON BUILDERS,,,
432004,SIERRA BUILDING SERVICE,,,
433816,EDDY ELECTRIC SERVICE INC,,,
434034,DORRELL VERN CONST,,,
434339,SEGUINE GORDON CONST,,,
437007,D & J PLUMBING INC,,,
452451,STEPHEN HAROLD COOPER,,,
462840,HER LAND ENTERPRISES,,,
468499,SINSLEY BUILT HOMES,,,
470876,WILLIAM STEWART CONSTRUCTION & STEWART SHEETMETAL,,,
471248,HOLLINGSWORTH TILE,,,
471946,STROPE D A COMPANY,,,
474988,CARDENAS DANIEL CONSTRUCTION INC,,,
475196,TREE CARE INCORPORATED,,,
475369,GRIFFIN ELECTRIC INC,,,
476210,J E L DEVELOPMENTS,,,
476891,MARTINELLI HOME IMPROVEMENT & SUPPLY COMPANY,,,
476938,WILSON DAVID CONSTRUCTION,,,
477786,FREEMAN C DEVELOPMENT AND CONSTRUCTION,,,
479424,BARNES RICHARD L GENERAL CONTRACTOR,,,
482205,BRYANT CONSTRUCTION,,,
482840,BIBBINS CONSTRUCTION/PROPERTY MANAGEMENT,,,
486844,CONDIT CONSTRUCTION COMPANY,,,
488326,DECK-O-FLEX,,,
488834,COMPLETE HOME SYSTEMS,,,
488862,DEVLIN COMPANY,,,
488902,BETZLER CONSTRUCTION INC,,,
489499,WORLEY IAN,,,
489900,CRONK DANIEL CONSTRUCTION,,,
490101,ADVANCED CONTRACTING AND REMODELING,,,
490733,PAULS MASONRY,,,
490907,FOUTZ CONSTRUCTION,,,
491773,MASTERSON DOUG PAINTING INC,,,
492132,BUILDINGS PLUS CONSTRUCTION CO,,,
492565,WINE COUNTRY SHOTBLAST & COATINGS,,,
492905,PACIFIC COAST BUILDERS,,,
493281,AMARO JOHN F & SONS,,,
493314,PACIFIC VALLEY FIRE PROTECTION INC,,,
493840,CARPETMAN,,,
494188,KINROSS WOODWORKING,,,
494390,MADSON CONSTRUCTION,,,
494605,A J BUILDERS,,,
494855,LUCKY CLOVER CONSTRUCTION,,,
495202,BENDER RICK PAINTING & DECORATING,,,
495226,DELTA CONSTRUCTION AND ELECTRIC COMPANY,,,
495264,DICK'S RANCHO GLASS INC,,,
495394,PERHAM JAMES S CONSTRUCTION,,,
495469,CALIFORNIA CONCEPTS CUSTOM CONSTRUCTION,,,
495616,SCOTT JOEY MASONRY,,,
496191,LAGOMARSINO ELECTRIC,,,
496674,RIO LINDA FENCE,,,
497090,BARATTA TILE COMPANY,,,
497350,INDUSTRIAL ELECTRONICS SYSTEMS INC,,,
497425,COMMUNITY PAVEMENT INC,,,
497599,A F V CONSTRUCTION,,,
497784,CHAPMAN JEFFREY L,,,
497886,LINKER GREG CONSTRUCTION INC,,,
498775,PRO - AIR INC,,,
498789,HACKETT JOHN PAINTING INC,,,
498806,K-DESIGNERS,,,
498911,SIMAS D B WOODWORKING,,,
499059,WESTERN PACIFIC MECHANICAL SERVICES INCORPORATED,,,
499345,CENTERLINE STRIPING COMPANY INC,,,
500009,LEVEL ONE ELECTRIC,,,
500042,BOWDEN M W CONST,,,
500126,FREDERICK PLUMBING,,,
500294,ALL WEATHER ROOFING,,,
501668,EXCEL PAINTING & STRIPING,,,
501812,MORROW'S PLUMBING & ELECTRIC,,,
502459,YOUNGBLOOD ELECTRIC CO,,,
503218,STEARN L A CO,,,
505187,EXCEL BUILDERS,,,
505324,CAMELIA CITY MILLWORK INC,,,
505422,BIONDI PAVING INC,,,
505780,ZEHNDER CONSTRUCTION,,,
505870,NORTH WEST SURFACING,,,
506157,SIESS GARY D GENERAL CONTRACTOR,,,
