contractor_index,business_name,contractor_address,contractor_city,contractor_state,contractor_phone,candidate_rank,candidate_report_id,candidate_event_desc,match_score
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,,1,0112600,NONE,0.0
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,,2,0352420,EMPLOYEE KILLED BY OVERHEAD FALLING OBJECT,0.0
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,,3,0316700,BURNS & SMOKE INHALATION,0.0
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,,4,0317500,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,0.0
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,,5,0418800,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED CONDUCTOR,0.0
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,,1,0112600,NONE,0.0
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,,2,0352420,EMPLOYEE KILLED BY OVERHEAD FALLING OBJECT,0.0
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,,3,0316700,BURNS & SMOKE INHALATION,0.0
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,,4,0317500,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,0.0
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,,5,0418800,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED CONDUCTOR,0.0
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,,1,0112600,NONE,0.0
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,,2,0352420,EMPLOYEE KILLED BY OVERHEAD FALLING OBJECT,0.0
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,,3,0316700,BURNS & SMOKE INHALATION,0.0
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,,4,0317500,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,0.0
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,,5,0418800,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED CONDUCTOR,0.0
3,DYNAMIC IRON WORKS INC,PO BOX 38,NORTH HIGHLANDS,CA,,1,0112600,NONE,0.0
3,DYNAMIC IRON WORKS INC,PO BOX 38,NORTH HIGHLANDS,CA,,2,0352420,EMPLOYEE KILLED BY OVERHEAD FALLING OBJECT,0.0
3,DYNAMIC IRON WORKS INC,PO BOX 38,NORTH HIGHLANDS,CA,,3,0316700,BURNS & SMOKE INHALATION,0.0
3,DYNAMIC IRON WORKS INC,PO BOX 38,NORTH HIGHLANDS,CA,,4,0317500,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,0.0
3,DYNAMIC IRON WORKS INC,PO BOX 38,NORTH HIGHLANDS,CA,,5,0418800,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED CONDUCTOR,0.0
4,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,1105 CARMELITA AVE,SACRAMENTO,CA,,1,0112600,NONE,0.0
4,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,1105 CARMELITA AVE,SACRAMENTO,CA,,2,0352420,EMPLOYEE KILLED BY OVERHEAD FALLING OBJECT,0.0
4,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,1105 CARMELITA AVE,SACRAMENTO,CA,,3,0316700,BURNS & SMOKE INHALATION,0.0
4,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,1105 CARMELITA AVE,SACRAMENTO,CA,,4,0317500,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,0.0
4,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,1105 CARMELITA AVE,SACRAMENTO,CA,,5,0418800,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED CONDUCTOR,0.0
5,EISENBEISZ ELECTRIC,PO BOX 1283,GALT,CA,,1,0112600,NONE,0.0
5,EISENBEISZ ELECTRIC,PO BOX 1283,GALT,CA,,2,0352420,EMPLOYEE KILLED BY OVERHEAD FALLING OBJECT,0.0
5,EISENBEISZ ELECTRIC,PO BOX 1283,GALT,CA,,3,0316700,BURNS & SMOKE INHALATION,0.0
5,EISENBEISZ ELECTRIC,PO BOX 1283,GALT,CA,,4,0317500,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,0.0
5,EISENBEISZ ELECTRIC,PO BOX 1283,GALT,CA,,5,0418800,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED CONDUCTOR,0.0
6,DUNCAN CUSTOM CONCRETE,241 ASCOT AVE,RIO LINDA,CA,,1,0112600,NONE,0.0
6,DUNCAN CUSTOM CONCRETE,241 ASCOT AVE,RIO LINDA,CA,,2,0352420,EMPLOYEE KILLED BY OVERHEAD FALLING OBJECT,0.0
6,DUNCAN CUSTOM CONCRETE,241 ASCOT AVE,RIO LINDA,CA,,3,0316700,BURNS & SMOKE INHALATION,0.0
6,DUNCAN CUSTOM CONCRETE,241 ASCOT AVE,RIO LINDA,CA,,4,0317500,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,0.0
6,DUNCAN CUSTOM CONCRETE,241 ASCOT AVE,RIO LINDA,CA,,5,0418800,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED CONDUCTOR,0.0
7,WATSON CONSTRUCTION,2413 SANDRINGHAM ROAD,SACRAMENTO,CA,,1,0112600,NONE,0.0
7,WATSON CONSTRUCTION,2413 SANDRINGHAM ROAD,SACRAMENTO,CA,,2,0352420,EMPLOYEE KILLED BY OVERHEAD FALLING OBJECT,0.0
7,WATSON CONSTRUCTION,2413 SANDRINGHAM ROAD,SACRAMENTO,CA,,3,0316700,BURNS & SMOKE INHALATION,0.0
7,WATSON CONSTRUCTION,2413 SANDRINGHAM ROAD,SACRAMENTO,CA,,4,0317500,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,0.0
7,WATSON CONSTRUCTION,2413 SANDRINGHAM ROAD,SACRAMENTO,CA,,5,0418800,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED CONDUCTOR,0.0
8,STANDARD & KINGS,2609 5TH AVE,SACRAMENTO,CA,,1,0112600,NONE,0.0
8,STANDARD & KINGS,2609 5TH AVE,SACRAMENTO,CA,,2,0352420,EMPLOYEE KILLED BY OVERHEAD FALLING OBJECT,0.0
8,STANDARD & KINGS,2609 5TH AVE,SACRAMENTO,CA,,3,0316700,BURNS & SMOKE INHALATION,0.0
8,STANDARD & KINGS,2609 5TH AVE,SACRAMENTO,CA,,4,0317500,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,0.0
8,STANDARD & KINGS,2609 5TH AVE,SACRAMENTO,CA,,5,0418800,ELECTRIC SHOCK - DIRECT CONTACT WITH ENERGIZED CONDUCTOR,0.0
9,JH WINDOW TINTING INC,8188 ELDER CREEK RD,SACRAMENTO,CA,,1,0112600,NONE,0.0
9,JH WINDOW TINTING INC,8188 ELDER CREEK RD,SACRAMENTO,CA,,2,0352420,EMPLOYEE KILLED BY OVERHEAD FALLING OBJECT,0.0
9,JH WINDOW TINTING INC,8188 ELDER CREEK RD,SACRAMENTO,CA,,3,0316700,BURNS & SMOKE INHALATION,0.0
9,JH WINDOW TINTING INC,8188 ELDER CREEK RD,SACRAMENTO,CA,,4,0317500,ELECTRIC SHOCK - CONTACT WITH OVERHEAD LINE THRU BOOM,0.0
