report_id,event_desc
0551800,Employee injured when arm caught in block forming machine
0625700,EMPLOYEE FELL INTO RIVER AND DROWNED
1055320,Employee Fractures Leg in Forklift Accident
0950411,Employee Killed When Stacked Scaffolding Fell Over
0950621,Employee's wrist fractured in fall from truck bed
0317900,"Employee Falls, Strikes His Head and Dies Days Later"
0454510,Employee's fingers amputated in power press
0316300,Employee Drowns in Fall from Aircraft Carrier
0950622,Employee's thumb injured while sanding stock in lathe
0951510,ELECTRIC SHOCK & BURN - ELECTRICAL FAULT IN PANELBOARD
0552700,Employee killed by slug ejected from press
0854910,Employee injured when leg caught in pipe conveyor
0950644,Crane Falls on Employee's Head
0352450,Employee Is Injured When Pulled Into Conveyor System
0950622,Employee Sustains Brain Hemorrhage While in Training
0352450,Employee Killed When Forklift Tips Over
0950631,Employee's thumb severed by circular saw
0213600,Employee killed when struck by falling ceramic insulators
0355117,Employee Killed in Fall from Roof
0521400,FELL FROM ROOF
0521700,Employee killed when head caught between tanker and dolly
0134000,Employee's legs burned by falling load of macadam
0950652,Employee Fractures Shoulder in Fall from Truck
0950625,Employee Is Burned by Hot Water
1054115,Employee's hand crushed in potato patty forming machine
0950613,Employee fractures knee in fall from flatbed truck
0524700,Employee Injures Arm When Run over by Dump Truck
0418600,Employee is struck by knuckleboom log loader and dies
0625700,Employee dies of burns after combustible liquid ignites
0453710,Employee struck by boom or dump bed
0453730,Employee dies when struck by motor vehicle
0352420,EMPLOYEE FELL 27' FROM UNGUARDED PLATFORM TO CONCRETE FLOOR
0950615,Employee's Thumb Is Amputated by Circular Saw
0950633,Employee Is Injured When Struck by Board
0950644,Employee's hand crushed while cleaning molding machine
0352430,Five employees injured when a crane overturned
0111500,Employee Is Injured in Fall from Metal Deck
0352430,Employee dislocates shoulder in fall from lift truck
0352450,Employee is injured in fall while setting roof trusses
0352440,EMPLOYEE INJURED IN FALL FROM WINDOW
0950632,Landscaper Dies from Intracerebral Berry Aneurysm
0950631,Employee's thumb and finger amputated on radial saw
0950632,Employee injured when finger amputated in table saw
0453710,Two employees injured when struck by a steel pipe
0950411,Coworker Operating a Front End Loader Runs over Employee
0950643,Employee's fingers injured in oil rig accident
0418300,Employee killed when run over by backhoe
0453710,EMPLOYEE FLAGGING STRUCK BY TRUCK IS KILLED
0950623,Employee's fingertip amputated in walnut pickup machine
0751910,FINGER AMPUTATED BY CANDY CUTTING MACHINE
0950633,Employee Suffers Partial Amputation While Using Punch Press
0419700,ELECTRIC SHOCK - CONTACT WITH UNDERGROUND LINE THRU DIGGER
0854910,Employee dies from apparent heart attack
0950643,Employee Falls and Fractures Ankle
0950625,"Employee Finger Crushed, Amputated Between Pipe and Roller"
