contractor_index,business_name,address_street,address_city,address_state,contractor_match_text,candidate_rank,candidate_report_id,candidate_event_desc,tfidf_score,rapidfuzz_score,combined
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,d k iron 2316 ralston road sacramento ca 95821,1,0215000,Iron worker killed in fall,0.17466190233297318,35.65891472868218,0.24743280031451262
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,d k iron 2316 ralston road sacramento ca 95821,2,0454510,Iron Worker Is Killed in Fall from Structure,0.14971381341694828,32.94117647058823,0.2215929939325219
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,d k iron 2316 ralston road sacramento ca 95821,3,0551800,CONSTRUCTION WORKER STRUCK BY ROAD GRADER,0.14920159847908324,37.5,0.23952095908744997
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,d k iron 2316 ralston road sacramento ca 95821,4,0950633,Iron worker injures back in fall,0.14099047043711962,29.31937172774869,0.20187176917326655
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,d k iron 2316 ralston road sacramento ca 95821,5,0418100,Iron worker killed in fall when lanyard is severed,0.1403342633503892,30.09708737864078,0.20458890752479664
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,esle 6345 auburn blvd ste a citrus heights ca 95621,1,0950631,Two Employees Injured In Fall From Heights,0.1108495428828937,38.21656050955414,0.21937596776795282
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,esle 6345 auburn blvd ste a citrus heights ca 95621,2,0950611,Employee Injured In Fall From Heights,0.10771966176932038,37.57575757575758,0.21493482736462255
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,esle 6345 auburn blvd ste a citrus heights ca 95621,3,1055320,Three employees killed in helicopter crash,0.0,32.183908045977006,0.12873563218390802
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,esle 6345 auburn blvd ste a citrus heights ca 95621,4,0418800,Employee drowns while trapped under tractor in canal,0.0,29.585798816568044,0.11834319526627218
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,esle 6345 auburn blvd ste a citrus heights ca 95621,5,0352420,Employee sustains head laceration in fall by grinder,0.0,31.213872832369944,0.12485549132947978
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,dna floors 6085 peoria dr citrus heights ca 95621,1,0729300,ELEVATOR FELL 6 FLOORS WITH 2 EMPLOYEES ON TOP,0.11747019241734558,36.8421052631579,0.21785053650303893
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,dna floors 6085 peoria dr citrus heights ca 95621,2,0521400,FALL DOWN ELEVATOR SHAFT (6 FLOORS),0.10996356164397386,40.57971014492754,0.22829697756609446
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,dna floors 6085 peoria dr citrus heights ca 95621,3,0215000,EMPLOYEE KILLED WHEN HE FELL 6 FLOORS INTO ELEVATOR PIT,0.10875329373966361,38.46153846153846,0.21909813008995202
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,dna floors 6085 peoria dr citrus heights ca 95621,4,0454711,Employee Is Killed in Fall Down Empty Elevator Shaft,0.0,31.578947368421055,0.12631578947368424
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,dna floors 6085 peoria dr citrus heights ca 95621,5,0215000,Employee Killed in Fall in Elevator Shaft,0.0,28.93081761006289,0.11572327044025155
3,DYNAMIC IRON WORKS INC,PO BOX 38,NORTH HIGHLANDS,CA,dynamic iron works inc po box 38 north highlands ca 95660,1,0215000,Iron worker killed in fall,0.09073263510309452,37.142857142857146,0.20301100963328528
3,DYNAMIC IRON WORKS INC,PO BOX 38,NORTH HIGHLANDS,CA,dynamic iron works inc po box 38 north highlands ca 95660,2,0454510,Iron Worker Is Killed in Fall from Structure,0.07777270613231109,37.569060773480665,0.19693986677330932
