contractor_index,business_name,address_street,address_city,address_state,contractor_match_text,candidate_rank,candidate_report_id,candidate_event_desc,tfidf_score,rapidfuzz_score,combined
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,d k iron 2316 ralston road sacramento ca 95821,1,0950631,Employee Burns And Amputates Finger While Cleaning Iron Belt,0.19411713540402617,33.33333333333333,0.249803614575749
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,d k iron 2316 ralston road sacramento ca 95821,2,0950633,Iron Worker Is Killed by Falling Beam,0.12923845197426706,31.95266272189349,0.2053537220721342
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,d k iron 2316 ralston road sacramento ca 95821,3,0418800,Employee Is Struck and Killed by Grader,0.10992100820113053,34.14634146341463,0.20253797077433683
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,d k iron 2316 ralston road sacramento ca 95821,4,0950621,Employee Is Killed in Fall from Road Grader,0.08708200855101188,36.090225563909776,0.19661010738624624
0,D K IRON,2316 RALSTON ROAD,SACRAMENTO,CA,d k iron 2316 ralston road sacramento ca 95821,5,0625700,Ironworker killed in fall from metal decking,0.06282798215768769,32.29813664596273,0.16688933587846352
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,esle 6345 auburn blvd ste a citrus heights ca 95621,1,0950633,Employee injured in fall from citrus tree,0.11860519594019231,34.78260869565217,0.2102935523467241
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,esle 6345 auburn blvd ste a citrus heights ca 95621,2,0950625,Employee Injurs Knee in Accident,0.0,33.009708737864074,0.1320388349514563
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,esle 6345 auburn blvd ste a citrus heights ca 95621,3,0626700,Employee dies of a heart attack,0.0,39.02439024390244,0.15609756097560978
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,esle 6345 auburn blvd ste a citrus heights ca 95621,4,0626600,Employee Dies of Heart Attack at Work Site,0.0,38.983050847457626,0.15593220338983052
1,ESLE,6345 AUBURN BLVD STE A,CITRUS HEIGHTS,CA,esle 6345 auburn blvd ste a citrus heights ca 95621,5,0454510,SUFFOCATED WHEN BURIED BY COLLAPSING COTTON SEED,0.0,32.87671232876713,0.1315068493150685
2,DNA FLOORS,6085 PEORIA DR,CITRUS HEIGHTS,CA,dna floors 6085 peoria dr citrus heights ca 95621,1,0830100,Employee dies of heart attack while stripping floors,0.11019098151573613,37.39837398373984,0.21570808484440102
