license_number,business_name,risk_score,permit_total_value,enrich_status,error_message
1000019,D K IRON,,,error,
1000027,ESLE,,,error,
1000103,DNA FLOORS,,,error,
1000130,DYNAMIC IRON WORKS INC,,,error,
1000137,ECOPLANET LANDSCAPE & MAINTENANCE SERVICES,,,error,
1000268,EISENBEISZ ELECTRIC,,,error,
1000283,DUNCAN CUSTOM CONCRETE,,,error,
1000307,WATSON CONSTRUCTION,,,error,
1000370,STANDARD & KINGS,,,error,
1000448,JH WINDOW TINTING INC,,,error,
1000573,V3 ELECTRIC INC,,,error,
1000581,DRP ELECTRIC INC,,,error,
1000792,COMMERCIAL FLOORING INSTALLERS INC,,,error,
1000942,CARMICHAEL CONSTRUCTION INC,,,error,
1001029,JAVI'S ROOFING INC,,,error,
1001032,EMERALD PAINTING INC,,,error,
1001040,FAIRCHILD GENERAL CONSTRUCTION,,,error,
1001090,TGW PAINTING & SERVICES,,,error,
1001121,J & H MARKINGS CO INC,,,error,
1001170,MANNY'S PAINTING,,,error,
1001188,ALL ABOUT GRANITE,,,error,
1001202,PRO-PLUMBING INC,,,error,
1001222,ALLIED ENTERPRISE GROUP INC WHICH WILL DO BUSINESS IN CALIFORNIA,,,error,
1001268,TAILORED LIVING TAILORED CLOSET & PREMIER GARAGE,,,error,
1001276,FORESITE CONSTRUCTION INC,,,error,
1001283,W G T INSTALLATIONS INC,,,error,
1001415,PAINTER THE,,,error,
1001612,ALMANZA LANDSCAPE,,,error,
1001628,SUN AND SON PAINTING,,,error,
1001660,IN-N-OUT PRO-PAINTING INC,,,error,
1001691,BEAR RIVER,,,error,
1001713,SAC POOL PROS SERVICE,,,error,
1001758,G P S ELECTRIC INC,,,error,
1001831,AFFORDABLE TUB REFINISHING INC,,,error,
1001929,H & S FLOORING INC,,,error,
1001938,SLAVA PAVLYUK FLOORING,,,error,
1001978,PRO-TECH MECHANICAL SERVICE,,,error,
1001979,K & M PAINTING,,,error,
1002040,MARK S WILCOX INC,,,error,
1002112,MFAM BUILDERS,,,error,
1002113,SCOTT HEAVY MOVERS INC,,,error,
1002115,A BETTER TREE SERVICE,,,error,
1002120,BULLARD CONSTRUCTION INC,,,error,
1002532,S L PRO BUILDERS INC,,,error,
1002664,LOPEZ TREE SERVICE,,,error,
1002700,A 4 PAINTING PLUS,,,error,
1002770,ACUTECH APPLIANCE HEATING & AIR,,,error,
1002842,CONSTRUCTION SERVICES BY J&P LLC,,,error,
1002875,COMMERCIAL WATERPROOFERS INC,,,error,
1002883,DEPIAZZA AND REED CONSTRUCTION,,,error,
1002888,SOLID HOME REPAIRS INC,,,error,
1002925,DUTCH CONTRACTING INC,,,error,
1002929,ACTION BUILDERS AND CONSTRUCTION INC,,,error,
1002971,CALIFORNIA SOLAR PARTNERS INC,,,error,
1002981,RUAN CONSTRUCTION,,,error,
1002996,MAITLAND DAN CONSTRUCTION,,,error,
1003139,APOSTLE PAVERS AND LANDSCAPE,,,error,
1003266,C G A'S PAINTING A PARTNERSHIP,,,error,
1003290,CITY WIDE PROPERTY SERVICES INC,,,error,
1003296,TIMBERWORKS PLUMBING,,,error,
1003389,SIGNS NOW,,,error,
1003398,CAL-WORKS CONSTRUCTION INC,,,error,
1003405,HONEST AND FAIR HEATING AND AIR,,,error,
1003409,CARTER'S CUSTOM CABINETRY INC,,,error,
1003413,D & T FIBERGLASS INC,,,error,
1003449,FOCUS FLOORING INC,,,error,
1003545,ASCEND PAINTING,,,error,
1003615,EGGERT STEVEN LEE,,,error,
1003618,NORTH WEST COMPACTING INC,,,error,
1003620,SUN AIR HEATING & COOLING,,,error,
1003672,GOLDEN STATE CONCRETE CONSTRUCTION,,,error,
1003720,BIONIC INDOOR COMFORT INC,,,error,
1003771,GOLD VALLEY FLOORS INC,,,error,
1003782,ALWAYS AFFORDABLE PLUMBING & HVAC,,,error,
1003805,GIO PAINTING COMPANY,,,error,
1003809,TORRES RESTORATION & REMODELING,,,error,
1003834,RUSHFORD POOLS CONCRETE AND LANDSCAPE CONSTRUCTION,,,error,
1003955,C G R CONSTRUCTION LLC,,,error,
1004006,ALIVE MEDIA LLC,,,error,
1004055,TRIPLE-G-GUNITE INC,,,error,
1004250,DAINAMIC BUILDERS INC,,,error,
1004313,STUCCO SYSTEMS INC,,,error,
1004470,GAGE CONCRETE DEMOLITION,,,error,
1004482,VERANO CONSTRUCTION,,,error,
1004504,NORTHERN FIRE INSPECTION INC,,,error,
1004580,DICHRISTINA CUSTOM BUILDERS,,,error,
1004594,ALL SEASONS TREE SERVICE,,,error,
1004595,C M P FLOORING INC,,,error,
1004765,BAYSINGER F & D INC,,,error,
1004788,SPA SERVICE AND LOGISTICS,,,error,
1004823,NORTH STAR DRYWALL,,,error,
1004853,COLLINS COMMERCIAL,,,error,
1004984,PATCH MASTERS DRYWALL,,,error,
1005001,DUY ELECTRIC INC,,,error,
1005179,SHEET METAL CONSTRUCTION,,,error,
1005241,JENSEN KELIN DRILLING,,,error,
1005371,BELLA GRANITE & MORE INC,,,error,
1005395,DREAM POOL WORKS,,,error,
1005398,ADVANCE ENERGY CONSTRUCTIONS INC,,,error,
1005427,ARROYO DRYWALL,,,error,
1005446,LARKSPUR CONSTRUCTION,,,error,
1005511,ELA FINISH CARPENTRY,,,error,
1005616,NATIONAL HIGH VOLTAGE SERVICES INC,,,error,
1005646,ALPINE BLUE LOG HOMES INC,,,error,
1005817,AGARD MILLWORK AND CONSTRUCTION,,,error,
1005882,ATHENS WEST BUILDERS INC,,,error,
1005929,BARRICADES PLUS SERVICES CORP,,,error,
1006092,HURLEY CONSTRUCTION INC,,,error,
1006095,H1 DRILLING COMPANY,,,error,
1006108,BRASHEAR CONSTRUCTION AND CONCRETE PUMPING INC,,,error,
1006163,WORX ZAKRZEWSKI,,,error,
1006194,S S B FLOOR COVERING,,,error,
1006233,MOUNTAIN ENGINEERING,,,error,
1006341,JACKSON CONSTRUCTION,,,error,
1006358,S & O FLOORING INC,,,error,
1006360,ELITE LIGHTING SERVICES INC,,,error,
1006444,SACS DOOR & GATE CORP,,,error,
1006472,C M C COMPANY,,,error,
1006505,GOLDEN COAST BUILDERS,,,error,
1006512,GLASS DOOR AND MAINTENANCE,,,error,
1006519,GO PRO GARAGE DOORS INC,,,error,
1006561,ORTIZ CONCRETE INC,,,error,
1006568,LONE STAR DRYWALL INC,,,error,
1006617,FOLSOM REMODEL,,,error,
1006629,MOHR CONSTRUCTION INC,,,error,
1006695,A P G PLUMBING,,,error,
1006728,HOUSE ON THE HILL CONSTRUCTION LLC,,,error,
1006783,CONSTRUCTION INNOVATIONS GROUP LLC,,,error,
1006839,ROOF CITY INC,,,error,
1006873,J CONSTRUCTION GROUP,,,error,
1006954,Z C ELECTRIC,,,error,
1006976,FIRST CHOICE ENGINEERING,,,error,
1007021,WHITE RIVER ROOFING INC,,,error,
1007060,BREWER OVERHEAD DOOR,,,error,
1007089,VILLANUEVA SCAFFOLDING,,,error,
1007102,SULLIVAN HOME RENOVATIONS INC,,,error,
1007153,AK PLUMBING,,,error,
1007175,PREMIER LOGISTICS & TRANSPORTATIONS,,,error,
1007176,ARBOGAST TAHOE,,,error,
1007180,CUTTING EDGE GENERAL CONTRACTING,,,error,
1007223,LEGACY WINDOWS INCORPORATED,,,error,
1007294,STATIC-PRO PAINTING,,,error,
1007296,SOLAR CENTURY,,,error,
1007305,FOUNTAIN TILE & ARTISTIC DESIGNS,,,error,
1007316,RHODES TILE,,,error,
1007350,FRESH COAT PAINTING,,,error,
1007353,BUDGET ROOTER INC,,,error,
1007406,4 D INDUSTRIES INC,,,error,
1007408,STITES LANDSCAPE GROUP INC,,,error,
1007539,ARTISTIC HOME CONSTRUCT,,,error,
1007601,MODERNIZE CONSTRUCTION INC,,,error,
1007740,GOLDEN VALLEY WINDOWS AND DOORS,,,error,
1007778,GARRETT FLOORING,,,error,
1007832,MCSB KITCHEN CABINETS,,,error,
1007868,GONZALEZ EUGENIO G,,,error,
1007869,A+ CONSTRUCTION & REMODELING ADU BUILDERS,,,error,
1007892,MD ELECTRIC,,,error,
1007908,RANCHO FLOORS,,,error,
1008084,JORGE'S QUALITY LANDSCAPING,,,error,
1008234,WESTERN SKY PATIO COVERS INC,,,error,
1008250,ARROUES HEATING & AIR,,,error,
1008264,INTEXT PAINTING,,,error,
1008286,5 RIVERS CONSTRUCTION,,,error,
1008354,ALL IN 1 CONSTRUCTION,,,error,
1008516,DICAN ELECTRIC,,,error,
